,key
622,crossing:markings
623,name:ja_rm
624,recycling:paper
625,cemetery
626,internet_access:fee
627,naptan:PlusbusZoneRef
628,place:CN
629,operator:short
630,source:addr:date
631,proposed
632,toilets:disposal
633,species:it
634,operator:ja
635,addr:street:it
636,location:transition
637,wikimedia_commons
638,standing
639,healthcare:speciality
640,addr:street:de
641,ward
642,official_status
643,abandoned
644,est_width
645,salt
646,fuel:diesel
647,teryt:simc
648,symbol
649,contact:instagram
650,CLC:explanation
651,ncat
652,railway:position:exact
653,review
654,snowmobile
655,addr:postcode:source
656,light:count
657,payment:visa
658,age
659,source:ro
660,product
661,payment:coins
662,name:zh-Hans
663,source:postcode
664,parking:lane:right
665,voltage:secondary
666,reg_ref
667,adr_les
668,lamp_flames
669,railway:switch
670,ownership
671,fire_hydrant:pressure
672,CLC:shapeId
673,overtaking
674,source:addr:housenumber:ref
675,payment:mastercard
676,source:location
677,expressway
678,is_in:country_code
679,dcgis:captureyear
680,name:th
681,tidal
682,note:post_town
683,depth
684,parking:orientation
685,status
686,source:maxaxleload
687,ref:linz:topo50_id
688,pump
689,addr:source
690,ref:nsrq
691,brand:ja
692,name:ga
693,bridge:structure
694,lamp_ref
695,name:el
696,disused
697,name:zh_pinyin
698,tram
699,ref:gurs:sta_sid
700,ref:sandre
701,payment:debit_cards
702,trolley_wire
703,street_cabinet
704,genus:it
705,tower:construction
706,government
707,hazmat
708,parking:lane:left
709,priority_road
710,workrules
711,source:addr:version
712,dataset
713,FID
714,ref:miabldg
715,recycling:glass
716,surface_survey
717,object:street
718,ref_name
719,building:walls
720,floating
721,light_source
722,crossing:light
723,produce
724,uic_name
725,passenger_information_display
726,is_in:village
727,post_box:type
728,maxspeed:hgv
729,sidewalk:both:surface
730,bmo:type
731,KSJ2:ADS
732,KSJ2:PubFacAdmin
733,object:city
734,source_ref:url
735,historic:civilization
736,destination:lanes
737,ref:old
738,railway:bidirectional
739,unisex
740,protect_class
741,surrey:addrid
742,surrey:date
743,contact:fax
744,agricultural
745,delivery
746,switch
747,rer_edi_id:ref
748,name:kn
749,wood
750,abutters
751,swimming_pool
752,locality
753,dog
754,tiger:zip_right_1
755,route_master
756,GeoBaseNHN:VALDATE
757,name:nl
758,is_in:continent
759,fuel:octane_95
760,roof:direction
761,social_facility:for
762,noref
763,cutting
764,ref:FR:SNCF_Reseau
765,toll:hgv
766,artist_name
767,disused:railway
768,surveillance:zone
769,genus:de
770,destination:street
771,demolished:building
772,name:ur
773,KSJ2:AdminArea
774,mtb
775,addr:parish
776,date
777,import_ref
778,light:tilt
779,ref:findr
780,railway:kvb
781,GNS:dsg_string
782,addr:nostreet
783,destination:forward
784,cycleway:surface
785,is_in:region
786,name_2
787,name:ja-Latn
788,traffic_sign:forward
789,toilets
790,capital
791,light:shape
792,de:strassenschluessel
793,recycling:clothes
794,ref:ine
795,railway:signal:main:form
796,check_date:opening_hours
797,statscan:rbuid
798,pipeline
799,old_addr:housenumber
800,tree_form
801,site_name
802,geobase:UUID
803,railway:milestone:catenary_mast
804,KSJ2:ODC
805,constituency
806,Source
807,minspeed
808,source:highway
809,plot_number
810,maxspeed:conditional
811,ref:usrn
812,hedge
813,source:prow_ref
814,tiger:name_direction_suffix_1
815,height:range
816,railway:signal:main
817,maxspeed:hgv:conditional
818,footway:surface
819,end_date
820,strazakosm:send_date
821,strazakosm:sender_id
822,ref:opendataparis:domanialit
823,importance
824,KSJ2:LIN
825,protection_title
826,wheelchair:description
827,logainm:ref
828,logainm:url
829,species:ro
830,name:oc
831,dcgis:square
832,roundtrip
833,destination:backward
834,building:type:pl
835,room
836,marker
837,plant:source
838,source:surface
839,dcgis:lot
840,clothes
841,attraction
842,ewmapa:warstwa
843,pillar:type
844,source:file
845,maxspeed:advisory
846,floor:material
847,name:eu
848,railway:gnt
849,ref:athensclarkeaddress
850,seamark:topmark:shape
851,capacity:persons
852,gnis:feature_type
853,name:genitive
854,nohousenumber
855,sidewalk:both
856,is_in:province
857,abandoned:highway
858,contact:vk
859,bdouble
860,ski
861,recycling:plastic
862,bridge:name
863,junction:ref
864,maxspeed:bus
865,lanes:both_ways
866,name:etymology:wikipedia
867,source:id
868,bak:fac_type1
869,toilets:position
870,mtb:scale:imba
871,fire_operator
872,name:hu
873,rcn_ref
874,crossing:bell
875,is_in:municipality
876,project
877,name:prefix:ru
878,line_management
879,road_marking
880,name:prefix:be
881,self_service
882,GNS:modify_date
883,yh:LINE_NAME
884,yh:LINE_NUM
885,ref:addr
886,KSJ2:curve_type
887,id
888,handicap
889,name:hi
890,subway
891,manufacturer:type
892,plant:output:electricity
893,seamark:mooring:category
894,gst:feat_id
895,basin
896,source:address
897,b5m:urlOrto
898,b5m:url
899,b5m:id
900,lbcs:function:code
901,lbcs:activity:code
902,lbcs:activity:name
903,field_name
904,nhd-shp:fdate
905,maxspeed:trailer
906,seamark:buoy_lateral:colour
907,bak:fac_type2
908,stars
909,lbcs:function:name
910,railway:track_class
911,railway:turnout_side
912,hazard
913,diet:vegetarian
914,name:lt
915,nhd-shp:com_id
916,name:ja_kana
917,cutline
918,recycling:cans
919,waterway:type
920,railway:local_operated
921,name:be-tarask
922,ref:en
923,disused:amenity
924,seamark:buoy_lateral:category
925,via
926,side
927,design:ref
928,seamark:buoy_lateral:shape
929,check_date:surface
930,accuracy
931,name:cs
932,name:ro
933,railway:signal:main:function
934,name:be:word_stress
935,NHD:FLOWDIR
936,school:FR
937,seamark:light:colour
938,building:ownership
939,ref:HNITNUM
940,model
941,seamark:topmark:colour
942,building:place
943,level:ref
944,naptan:StopAreaType
945,naptan:StopAreaCode
946,visibility
947,divipola
948,ref:INSEE
949,gnis:Class
950,naptan:ShortCommonName
951,camera:direction
952,change:lanes
953,resource
954,name:fa
955,protected
956,note:addr_place
957,snowplowing
958,maxweight:signed
959,destination:symbol
960,clc:code
961,royal_cypher
962,source:addr:housenumber
963,map_type
964,nvdb:id
965,IBGE:CD_ADMINIS
966,mooring
967,railway:signal:main:states
968,seamark:light:character
969,building:floor_area
